genus,counts,color_label
Inga,101,orangered
Cordia,93,darkturquoise
Cecropia,86,gold
Banara,51,royalblue
Vismia,36,violet
Tapirira,35,lightgray
Jacaranda,25,lightgray
Rollinia,20,lightgray
Attalea,16,lightgray
Pterocarpus,15,lightgray
Thyrsodium,13,lightgray
Apeiba,12,lightgray
Schizolobium,11,lightgray
Bellucia,11,lightgray
Pouteria,10,deepskyblue
Bagassa,10,lightgray
Nectandra,10,lightgray
Stryphnodendron,9,lightgray
Bertholletia,9,lightgray
Xylopia,7,lightgray
Miconia,6,lightgray
Dulacia,6,lightgray
Siparuna,6,lightgray
Eriotheca,6,lightgray
Sapium,6,lightgray
Schefflera,5,lightgray
Casearia,5,lightgray
Neea,5,lightgray
Eschweilera,5,chocolate
Bixa,5,lightgray
Couratari,5,lightgray
Brosimum,5,lightgray
Ryania,4,lightgray
Couepia,4,lightgray
Rinorea,4,darkorange
Jacaratia,4,lightgray
Talisia,4,lightgray
Apuleia,4,lightgray
Perebea,4,lightgray
Quiina,3,lightgray
Sorocea,3,lightgray
Sloanea,3,lightgray
Drypetes,2,lightgray
Eugenia,2,lightgray
Theobroma,2,lightgray
Dinizia,2,lightgray
Poecilanthe,2,lightgray
Cupania,2,lightgray
Triplaris,2,forestgreen
Aspidosperma,2,lightgray
Parkia,1,lightgray
Himatanthus,1,lightgray
Psidium,1,lightgray
Naucleopsis,1,lightgray
Licania,1,lightgray
Trichilia,1,lightgray
Cedrela,1,lightgray
Astrocaryum,1,lightgray
Couma,1,lightgray
Simarouba,1,lightgray
Swartzia,1,lightgray
Mangifera,1,lightgray
Vataireopsis,1,lightgray
Otoba,1,mediumpurple
Virola,1,lightgray
Vatairea,1,lightgray
Caryocar,1,lightgray
Dialium,1,lightgray
Minquartia,1,lightgray
Mezilaurus,1,lightgray
Carica,1,lightgray
Coccoloba,1,lightgray
Rinoreocarpus,1,lightgray
Terminalia,1,lightgray
Aegiphila,1,lightgray
Dipteryx,1,lightgray
